State,Estimated_Vote
United States,160213969
Alabama,2325000
Alaska,360684
Arizona,3420565
Arkansas,1222924
California,17700000
Colorado,3295361
Connecticut,1861086
Delaware,509241
District of Columbia,346491
Florida,11144855
Georgia,5000511
Hawaii,579784
Idaho,875000
Illinois,6100000
Indiana,3068542
Iowa,1700130
Kansas,1340000
Kentucky,2150954
Louisiana,2180000
Maine,819592
Maine CD-1,441198
Maine CD-2,378394
Maryland,2975000
Massachusetts,3658005
Michigan,5579317
Minnesota,3290000
Mississippi,1330000
Missouri,3050000
Montana,612075
Nebraska,948852
Nebraska CD-1,321245
Nebraska CD-2,337754
Nevada,1407754
New Hampshire,814499
New Jersey,4350000
New Mexico,928230
New York,8930000
North Carolina,5545848
North Dakota,364251
Ohio,6080000
Oklahoma,1565000
Oregon,2411802
Pennsylvania,6950000
Rhode Island,525000
South Carolina,2533010
South Dakota,427529
Tennessee,3060000
Texas,11300000
Utah,1515845
Vermont,370968
Virginia,4523142
Washington,4116894
West Virginia,802726
Wisconsin,3310000
Wyoming,278503